date,reserve0,reserve1,token0.name,token1.name,priceUSD
2021-06-23 00:00:00,102935078.627323,52251.000816547637555526,USD//C,Wrapped Ether,1969.600651956742783137768962594498
2021-06-24 00:00:00,143888446.113875,72385.762570097897478126,USD//C,Wrapped Ether,1987.844726034651031383872508901458
2021-06-25 00:00:00,141241388.948354,77768.734585537655509578,USD//C,Wrapped Ether,1815.941381904690324677415571444749
2021-06-26 00:00:00,139972158.859636,76648.958767116952554115,USD//C,Wrapped Ether,1825.414419637012906831596909676939
2021-06-27 00:00:00,134795532.839945,68135.578012544694196846,USD//C,Wrapped Ether,1977.884101339238821042062972270432
2021-06-28 00:00:00,138730965.525962,66690.725339647483814417,USD//C,Wrapped Ether,2078.098660352842198566711114892506
2021-06-29 00:00:00,151507031.19778,69990.808304504539977092,USD//C,Wrapped Ether,2162.451816746501887079993931007992
2021-06-30 00:00:00,155028456.134653,68156.293084601118436926,USD//C,Wrapped Ether,2273.813595779090304413624892194801
2021-07-01 00:00:00,159686138.744123,75627.3830009171675124,USD//C,Wrapped Ether,2112.518654150370564196233965189101
2021-07-02 00:00:00,160419092.387642,74624.858357751741055033,USD//C,Wrapped Ether,2149.227232173791538878388005550463
2021-07-03 00:00:00,151263167.790926,67959.853154449651742287,USD//C,Wrapped Ether,2225.265247399311773511332900936087
2021-07-04 00:00:00,153650975.959724,66000.807651775600547769,USD//C,Wrapped Ether,2327.212743328653559006180943606198
2021-07-05 00:00:00,161546754.333206,73353.840749728189715461,USD//C,Wrapped Ether,2203.008510271923281812517531848674
2021-07-06 00:00:00,166307685.042134,71664.107329209424059947,USD//C,Wrapped Ether,2321.460207592136521196712540596891
2021-07-07 00:00:00,163864616.629295,70793.412569371270469914,USD//C,Wrapped Ether,2316.321677315728613699575140806115
2021-07-08 00:00:00,146367777.970779,69053.174654988588688124,USD//C,Wrapped Ether,2119.865506193208080772072238191817
2021-07-09 00:00:00,147552341.873772,68542.123157539919058726,USD//C,Wrapped Ether,2153.008692979488870989026373195692
2021-07-10 00:00:00,145884305.168274,68964.863504671592176619,USD//C,Wrapped Ether,2115.008568304580989886053859123272
2021-07-11 00:00:00,146278973.943931,68291.545154618867796692,USD//C,Wrapped Ether,2141.075595006463327602358659811631
2021-07-12 00:00:00,133457634.107966,65571.791402573595631765,USD//C,Wrapped Ether,2035.935734406941570437635855149425
2021-07-13 00:00:00,128943768.99379,66490.015343994570114005,USD//C,Wrapped Ether,1938.987847363681225165910072616033
2021-07-14 00:00:00,130659967.259049,65569.62357570205585344,USD//C,Wrapped Ether,1992.220768043413931250434878236106
2021-07-15 00:00:00,135732884.207231,70853.172388352686575116,USD//C,Wrapped Ether,1915.427006099117049375460671833595
2021-07-16 00:00:00,134016522.445217,71509.390584709775216103,USD//C,Wrapped Ether,1874.396741116812711319832144442601
