dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserveUSD,totalSupply,token0.name,token0.totalLiquidity,token1.name,token1.totalLiquidity,priceUSD
81122344.238589,38104.120045596528198074,81367923.10266241734069779570122352,2021-04-11 00:00:00,287166200.0742034889944849653092729,2.066053648263483514,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2145.367133154610359769877069263635
83936976.99749,39183.430815636676137314,84084725.47573042768856436555988561,2021-04-12 00:00:00,290849523.3701795981318791101219578,2.089818879204518266,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2144.687426757200044338732810819271
105139918.738458,47452.409720072251664092,105406421.9415982300978245656113676,2021-04-13 00:00:00,304659770.2154303894196200445039315,2.113291726877136833,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2298.205214574670660817308753734685
176058102.907584,74884.776373449390314925,176280802.3574788873604729605959308,2021-04-14 00:00:00,311544382.8904380267869379794159844,2.101788461765213299,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2423.457737225442300208865365793033
108844689.582195,44249.783628788415664173,108867800.8849928172150120466439102,2021-04-15 00:00:00,313568542.726557951091304577237288,2.075515119434701888,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2513.211709521150408580008339793153
117868386.615851,48710.50767297262283263,117870378.0122516779507962673288247,2021-04-16 00:00:00,309676349.2329294981164128896352622,2.083298940966870049,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2426.4508874367413953041241130241
90186547.967644,37463.959687382847678019,90212968.51552326734955114131156335,2021-04-17 00:00:00,312793203.746310616927710335839697,2.149342402989637929,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2322.149993897004316943270529553896
263788561.825946,122689.111006789010010514,263905068.8745638908915152390964018,2021-04-18 00:00:00,309376714.0818169658374653738627059,2.16030327627609911,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2235.927951603935423325019334519642
121540370.595067,55673.266837886306270828,121559789.9312609557091765420482864,2021-04-19 00:00:00,306233954.1203981960475593300446296,2.171737652713193919,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2164.450397776854160996063964437101
169991888.965073,78242.65531163681400215,169963195.4612644992150512287521034,2021-04-20 00:00:00,323507744.5391837580052366215921631,2.203830973773483871,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2331.04410608730624779374048941989
133477628.960195,56499.654997016758878854,133430611.5526333029812530586152242,2021-04-21 00:00:00,344246758.6591898304379594642896359,2.327680975852334702,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2364.776284067254916171636117541914
254669049.518612,103347.768373353284180692,254746424.126642763900685054571397,2021-04-22 00:00:00,358766448.2687133080162287579279481,2.401360082344777755,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2401.159817688562461969337469443766
308746058.963771,137014.443666525760908691,308805316.4917079936037184179028447,2021-04-23 00:00:00,362047227.5440814549077078398280977,2.438762970446554247,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2365.467094935670284858085456568612
114189412.159978,50710.00062330882348846,114166713.4161562450746518112756282,2021-04-24 00:00:00,354481191.3783782868655385472492097,2.463451778032040066,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2213.269195666937164803530287631742
